record_id,true_phase,experimental_image,assumed_phase,simulated_image,indexing_status,is_fallback_orientation,image_ncc,hough_ncc_raw,hough_ncc_bin_t350,hough_ncc_bin_t450,hough_ncc_bin_t550,hough_ncc_bin_t650,hough_ncc_bin_t750
r001,fe_bcc,experimental_patterns/fe_bcc_Ori_1.bmp,fe_bcc,simulated_patterns/assume_fe_bcc/fe_bcc_Ori_1.bmp,ok,False,0.28706415844180094,0.5691779546788028,0.4436478261608203,0.462254331337832,0.37849942449947105,0.3029885131254694,0.3509681524821115
r001,fe_bcc,experimental_patterns/fe_bcc_Ori_1.bmp,fe3o4_magnetite,simulated_patterns/assume_fe3o4_magnetite/fe_bcc_Ori_1.bmp,ok,False,0.2440959210855497,0.5623992174784533,0.43968383816027606,0.44290244124453276,0.44361347999818196,0.30298851312546937,0.3226779395623349
r001,fe_bcc,experimental_patterns/fe_bcc_Ori_1.bmp,feo_wustite,simulated_patterns/assume_feo_wustite/fe_bcc_Ori_1.bmp,ok,False,0.17081161652393934,0.406750380538847,0.3793222149118519,0.2766735032485815,0.20998294348497226,0.22812066867375808,0.06636215557172731
r002,fe3o4_magnetite,experimental_patterns/fe3o4_magnetite_Ori_1.bmp,fe_bcc,simulated_patterns/assume_fe_bcc/fe3o4_magnetite_Ori_1.bmp,failed,True,0.3009402848270744,0.5297676048268478,0.41460792321003354,0.20468519409577796,0.39800570626057286,0.3590282221268229,0.3893405122450974
r002,fe3o4_magnetite,experimental_patterns/fe3o4_magnetite_Ori_1.bmp,fe3o4_magnetite,simulated_patterns/assume_fe3o4_magnetite/fe3o4_magnetite_Ori_1.bmp,ok,False,0.3444639464860973,0.6047629073418066,0.4760242046224618,0.2542843588730223,0.5417629315678364,0.4067578824092001,0.3398660050370327
r002,fe3o4_magnetite,experimental_patterns/fe3o4_magnetite_Ori_1.bmp,feo_wustite,simulated_patterns/assume_feo_wustite/fe3o4_magnetite_Ori_1.bmp,ok,False,0.29211091903956854,0.4984552656147105,0.37546247713703157,0.19323297279575635,0.28266081293878426,0.2073270649935263,0.07724639406216915
r003,feo_wustite,experimental_patterns/feo_wustite_Ori_1.bmp,fe_bcc,simulated_patterns/assume_fe_bcc/feo_wustite_Ori_1.bmp,failed,True,0.30900839788214257,0.5393604974770962,0.42770182682345254,0.3188678447256955,0.4242690425726382,0.39659863965228515,0.33313830532886823
r003,feo_wustite,experimental_patterns/feo_wustite_Ori_1.bmp,fe3o4_magnetite,simulated_patterns/assume_fe3o4_magnetite/feo_wustite_Ori_1.bmp,ok,False,0.3751939726457776,0.6122055954428876,0.5168310022071841,0.35342191120136424,0.5306094779716394,0.4364317717066116,0.32878252418974413
r003,feo_wustite,experimental_patterns/feo_wustite_Ori_1.bmp,feo_wustite,simulated_patterns/assume_feo_wustite/feo_wustite_Ori_1.bmp,ok,False,0.3922468044833674,0.5995216394646808,0.37007844824817043,0.3619379328997691,0.2883599034831198,0.2997418832087003,0.15203484771053793
